STT,Link chat,Loại việc,Hệ bài chữa,Gửi giáo án,Mã giáo án,Đường dẫn bài nộp,Trạng thái,Thời gian bắt đầu,Thời gian hoàn thành,Xưng hô
50,https://business.facebook.com/latest/inbox/all?asset_id=397158984167026&selected_item_id=100008839182295&thread_type=FB_MESSAGE&mailbox_id=397158984167026,Chữa bài,APTIS GENERAL,Có,gen_bài 6,D:\HoangLong_Data\Download\HOME-LIVING-CLUB-APTIS-SV-1.docx,Đã làm,15:41,15:45,Anh - Em (Mặc định)
51,https://business.facebook.com/latest/inbox/all?asset_id=397158984167026&nav_ref=redirect_biz_inbox_pages_messages_button&mailbox_id=397158984167026&selected_item_id=100078960192302&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 8,D:\HoangLong_Data\Download\PHOTOGRAPHY-CLUB-APTIS-SV.docx|D:\HoangLong_Data\Download\LANGUAGE-CLUB-APTIS-SV.docx,Đã làm,16:21,16:26,Anh - Em (Mặc định)
52,https://business.facebook.com/latest/inbox/all?asset_id=397158984167026&nav_ref=redirect_biz_inbox_pages_messages_button&mailbox_id=397158984167026&selected_item_id=100088961807992&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 2,D:\HoangLong_Data\Download\Quóc Trí.docx,Đã làm,16:26,16:30,Anh - Em (Mặc định)
53,https://www.facebook.com/messages/t/1347968207265206,Chữa bài,APTIS GENERAL,Có,gen_bài 5,D:\HoangLong_Data\Download\7.-TECHNOLOGY-CLUB-Nguyeecn-Thị-Khánh-Huyền.docx|D:\HoangLong_Data\Download\6.-SOCIAL-CLUB-Nguyễn-Thị-Khánh-Huyền.docx,Đã làm,16:38,16:43,Anh - Em (Mặc định)
54,https://www.facebook.com/messages/t/1984442728954414,Chữa bài,APTIS GENERAL,Có,gen_bài 4,D:\HoangLong_Data\Download\FOOD-CLUB-Hoang.docx|D:\HoangLong_Data\Download\FITNESS-CLUB-Hoang.docx,Đã làm,16:44,16:48,Anh - Em (Mặc định)
55,https://www.facebook.com/messages/t/29003676605945131,Chữa bài,APTIS GENERAL,Không,,D:\HoangLong_Data\Download\SOCIAL-CLUB-APTIS-SV.docx|D:\HoangLong_Data\Download\TECHNOLOGY-CLUB.docx,Đã làm,16:48,16:51,Anh - Em (Mặc định)
56,https://www.facebook.com/messages/t/29502673169320034,Chữa bài,APTIS GENERAL,Không,,D:\HoangLong_Data\Download\COMPUTER-CLUB-APTIS-SV-21.06.2026.docx|D:\HoangLong_Data\Download\ART-CLUB-APTIS-SV-21.06.2026.docx,Đã làm,16:51,16:53,Anh - Em (Mặc định)
57,https://business.facebook.com/latest/inbox/all?asset_id=397158984167026&nav_ref=redirect_biz_inbox_pages_messages_button&mailbox_id=397158984167026&selected_item_id=100002781487192&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 5,D:\HoangLong_Data\Download\SOCIAL-CLUB-APTIS-SV.docx|D:\HoangLong_Data\Download\TECHNOLOGY-CLUB-APTIS-SV.docx,Đã làm,17:08,17:12,Anh - Em (Mặc định)
58,https://business.facebook.com/latest/inbox/all?asset_id=397158984167026&nav_ref=redirect_biz_inbox_pages_messages_button&mailbox_id=397158984167026&selected_item_id=100052122705489&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 5,D:\HoangLong_Data\Download\VietAnh.docx,Đã làm,17:12,17:17,Anh - Em (Mặc định)
59,https://business.facebook.com/latest/inbox/all?asset_id=397158984167026&nav_ref=redirect_biz_inbox_pages_messages_button&mailbox_id=397158984167026&selected_item_id=100016942352214&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 5,D:\HoangLong_Data\Download\TECHNOLOGY-CLUB.docx|D:\HoangLong_Data\Download\SOCIAL-CLUB-APTIS-SV (1).docx,Đã làm,17:17,17:22,Anh - Em (Mặc định)
60,https://business.facebook.com/latest/inbox/all?asset_id=397158984167026&nav_ref=redirect_biz_inbox_pages_messages_button&mailbox_id=397158984167026&selected_item_id=100027827841974&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Không,,D:\HoangLong_Data\Download\PHOTOGRAPHY-CLUB-APTIS-SV-1.docx,Đã làm,17:34,17:37,Anh - Em (Mặc định)
61,https://business.facebook.com/latest/inbox/all?asset_id=397158984167026&nav_ref=redirect_biz_inbox_pages_messages_button&mailbox_id=397158984167026&selected_item_id=100041989992447&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 2,D:\HoangLong_Data\Download\MUSIC-CLUB-APTIS-SV_1.docx,Đã làm,17:37,17:41,Anh - Em (Mặc định)
62,https://business.facebook.com/latest/inbox/all?asset_id=397158984167026&nav_ref=redirect_biz_inbox_pages_messages_button&mailbox_id=397158984167026&selected_item_id=100000021003357&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 2,D:\HoangLong_Data\Download\Ngọc lê.docx,Đã làm,17:41,,Anh - Em (Mặc định)
63,https://business.facebook.com/latest/inbox/all?asset_id=397158984167026&nav_ref=redirect_biz_inbox_pages_messages_button&mailbox_id=397158984167026&selected_item_id=100000023044997&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Không,,D:\HoangLong_Data\Download\HOME-LIVING-CLUB-APTIS-SV.docx,Đã làm,18:10,18:12,Anh - Em (Mặc định)
64,https://business.facebook.com/latest/inbox/all?asset_id=397158984167026&nav_ref=redirect_biz_inbox_pages_messages_button&mailbox_id=397158984167026&selected_item_id=100042013836603&thread_type=FB_MESSAGE,Chỉ gửi giáo án,,Không,gen_ bài 1,,Đã làm,,,Anh - Em (Mặc định)
65,https://business.facebook.com/latest/inbox/all?asset_id=397158984167026&nav_ref=redirect_biz_inbox_pages_messages_button&mailbox_id=397158984167026&selected_item_id=100076677395864&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 4,D:\HoangLong_Data\Download\Hoàng hải.docx,Đã làm,18:12,18:16,Anh - Em (Mặc định)
66,https://business.facebook.com/latest/inbox/all?asset_id=397158984167026&nav_ref=redirect_biz_inbox_pages_messages_button&mailbox_id=397158984167026&selected_item_id=100004481235573&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 3,D:\HoangLong_Data\Download\TELEVISION-CLUB-Anhs.docx,Đã làm,18:16,,Anh - Em (Mặc định)
67,https://business.facebook.com/latest/inbox/all?asset_id=397158984167026&nav_ref=redirect_biz_inbox_pages_messages_button&mailbox_id=397158984167026&selected_item_id=100046150501836&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 3,D:\HoangLong_Data\Download\Diệu ly.docx,Đã làm,18:22,18:26,Anh - Em (Mặc định)
68,https://www.facebook.com/messages/t/1851571825445742,Chữa bài,APTIS GENERAL,Không,,D:\HoangLong_Data\Download\BUSINESS-CLUB.docx,Đã làm,18:26,18:29,Anh - Em (Mặc định)
69,https://www.facebook.com/messages/t/1555713359493064,Chữa bài,APTIS GENERAL,Có,gen_bài 5,D:\HoangLong_Data\Download\SOCIAL-CLUB-APTIS-SV-Luna.docx|D:\HoangLong_Data\Download\TECHNOLOGY-CLUB-APTIS-SV-Luna.docx,Đã làm,18:29,18:33,Anh - Em (Mặc định)
70,https://www.facebook.com/messages/t/1649211259736259,Chữa bài,APTIS GENERAL,Không,,D:\HoangLong_Data\Download\Walking-Club-Hà.docx,Đã làm,18:33,18:35,Anh - Em (Mặc định)
2,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&business_id=&mailbox_id=397158984167026&selected_item_id=100045983885363&thread_type=FB_MESSAGE,Chỉ gửi giáo án,,Có,gen_bài 1,,Đã làm,10:43,10:46,Anh - Em (Mặc định)
3,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&business_id=&mailbox_id=397158984167026&selected_item_id=100040502086390&thread_type=FB_MESSAGE,Chỉ gửi giáo án,,Có,gen_bài 1,,Đã làm,11:40,11:43,Anh - Em (Mặc định)
4,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&business_id=&mailbox_id=397158984167026&selected_item_id=100093983584080&thread_type=FB_MESSAGE,Chỉ gửi giáo án,,Có,gen_bài 1,,Đã làm,12:06,12:09,Anh - Em (Mặc định)
5,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&business_id=&mailbox_id=397158984167026&selected_item_id=100042153155155&thread_type=FB_MESSAGE,Chỉ gửi giáo án,,Có,gen_bài 1,,Đã làm,12:09,12:11,Anh - Em (Mặc định)
6,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&business_id=&mailbox_id=397158984167026&selected_item_id=100076349497538&thread_type=FB_MESSAGE,Chỉ gửi giáo án,,Có,gen_bài 1,,Đã làm,12:11,12:14,Anh - Em (Mặc định)
7,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&business_id=&mailbox_id=397158984167026&selected_item_id=61564331721997&thread_type=FB_MESSAGE,Chỉ gửi giáo án,,Có,gen_bài 1,,Đã làm,12:14,,Anh - Em (Mặc định)
8,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&business_id=&mailbox_id=397158984167026&selected_item_id=100011090416553&thread_type=FB_MESSAGE,Chỉ gửi giáo án,,Có,gen_bài 1,,Đã làm,12:18,12:20,Anh - Em (Mặc định)
9,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&business_id=&mailbox_id=397158984167026&selected_item_id=61579108673758&thread_type=FB_MESSAGE,Chỉ gửi giáo án,,Có,gen_bài 1,,Đã làm,12:20,12:23,Anh - Em (Mặc định)
10,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100039465585921&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 5,D:\HoangLong_Data\Download\TECHNOLOGY-ngocbich.docx|D:\HoangLong_Data\Download\SOCIAL-ngocbich.docx,Đã làm,12:23,12:30,Anh - Em (Mặc định)
11,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100008958586077&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 3,D:\HoangLong_Data\Download\TELEVISION-CLUB.docx|D:\HoangLong_Data\Download\ENGLISH-CLUB.docx,Đã làm,12:30,12:35,Anh - Em (Mặc định)
12,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100016494216741&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 5,D:\HoangLong_Data\Download\Sơn Lê.docx,Đã làm,12:35,,Anh - Em (Mặc định)
13,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100010941584828&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 8,D:\HoangLong_Data\Download\LANGUAGE-CLUB-APTIS-SV-Kiệt-Lam.docx|D:\HoangLong_Data\Download\PHOTOGRAPHY-CLUB-APTIS-SV-Kiet-Lam.docx,Đã làm,12:44,12:49,Anh - Em (Mặc định)
14,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100058575578752&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 6,D:\HoangLong_Data\Download\HOME-LIVING-minh.docx|D:\HoangLong_Data\Download\COMMUNITY-CLUB-minh.docx,Đã làm,12:49,12:54,Anh - Em (Mặc định)
15,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100013484718934&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 4,D:\HoangLong_Data\Download\FOOD-CLUB-APTIS-SV.docx|D:\HoangLong_Data\Download\FITNESS-CLUB-APTIS-SV.docx,Đã làm,12:54,12:58,Anh - Em (Mặc định)
16,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100042013836603&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 2,D:\HoangLong_Data\Download\MUSIC-CLUB-APTIS-SV.docx,Đã làm,12:58,13:02,Anh - Em (Mặc định)
17,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100029467217239&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 8,D:\HoangLong_Data\Download\SOCIAL-CLUB-APTIS-Tam-Doan.docx|D:\HoangLong_Data\Download\TECHNOLOGY-CLUB-APTIS-Tam-Doan.docx,Đã làm,13:02,13:06,Anh - Em (Mặc định)
18,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100039250482038&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 6,D:\HoangLong_Data\Download\HOME-LIVING-CLUB-APTIS-SV.docx|D:\HoangLong_Data\Download\COMMUNITY-CLUB-APTIS-SV.docx,Đã làm,13:06,13:10,Anh - Em (Mặc định)
19,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100049537371693&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 2,D:\HoangLong_Data\Download\Lucy phan.docx,Đã làm,13:10,13:14,Anh - Em (Mặc định)
20,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100008015292498&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 8,D:\HoangLong_Data\Download\PHOTOGRAPHY-CLUB-APTIS-SV-Phương-Thảo.docx|D:\HoangLong_Data\Download\LANGUAGE-CLUB-APTIS-SV-Phuong-Thao.docx,Đã làm,13:14,13:19,Anh - Em (Mặc định)
21,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100071056104328&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 2,D:\HoangLong_Data\Download\MUSIC-CLUB-APTIS-SV (1).docx,Đã làm,13:19,13:23,Anh - Em (Mặc định)
22,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100041389201133&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 8,D:\HoangLong_Data\Download\LANGUAGE-CLUB-APTIS-SV..docx,Đã làm,13:23,13:28,Anh - Em (Mặc định)
23,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=61557698753862&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 4,D:\HoangLong_Data\Download\FITNESS-CLUB-APTIS-SV (1).docx,Đã làm,13:28,13:33,Anh - Em (Mặc định)
24,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100085568676372&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 3,D:\HoangLong_Data\Download\TELEVISION-Tai.docx|D:\HoangLong_Data\Download\ENGLISH-CLUB-Tai.docx,Đã làm,13:33,13:37,Anh - Em (Mặc định)
25,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100016942352214&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 6,D:\HoangLong_Data\Download\HOME-LIVING.docx|D:\HoangLong_Data\Download\COMMUNITY-CLUB.docx,Đã làm,13:37,13:40,Anh - Em (Mặc định)
26,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100090309816805&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 5,D:\HoangLong_Data\Download\TECHNOLOGY-CLUB.docx|D:\HoangLong_Data\Download\SOCIAL-CLUB.docx,Đã làm,13:40,13:46,Anh - Em (Mặc định)
27,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100053899000339&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 5,D:\HoangLong_Data\Download\SOCIAL-CLUB-APTIS-SṾ88.docx|D:\HoangLong_Data\Download\TECHNOLOGY-CLUB-APTIS-SV-88.docx,Đã làm,13:46,13:51,Anh - Em (Mặc định)
28,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100009425509025&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 6,D:\HoangLong_Data\Download\giang hà.docx,Đã làm,13:51,13:56,Anh - Em (Mặc định)
29,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100007894444417&thread_type=FB_MESSAGE,Chữa bài,VSTEP,Có,vstep_bài 4,D:\HoangLong_Data\Download\Lan hương.docx,Đã làm,13:56,14:00,Anh - Em (Mặc định)
30,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100004073941919&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 5,D:\HoangLong_Data\Download\SOCIAL-CLUB-APTIS-SV.docx|D:\HoangLong_Data\Download\TECHNOLOGY-CLUB-APTIS-SV.docx,Đã làm,14:01,14:05,Anh - Em (Mặc định)
31,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100017020893560&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 6,D:\HoangLong_Data\Download\HOME-LIVING-CLUB-APTIS-SV-1.docx|D:\HoangLong_Data\Download\COMMUNITY-CLUB-APTIS-SV (1).docx,Đã làm,14:05,14:10,Anh - Em (Mặc định)
32,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100004149459801&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 8,D:\HoangLong_Data\Download\thái nguyên.docx,Đã làm,14:10,14:14,Anh - Em (Mặc định)
33,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100008460244764&thread_type=FB_MESSAGE,Chữa bài,VSTEP,Có,vstep_bài 5,D:\HoangLong_Data\Download\TASK-2-AI-DISCUSS-1.docx,Đã làm,14:14,14:19,Anh - Em (Mặc định)
1,https://www.facebook.com/messages/e2ee/t/27418235654476284,Chữa bài,APTIS GENERAL,Có,gen_bài 1,D:\HoangLong_Data\Download\Học viên Dương.docx,Đã làm,16:10,16:14,Anh - Em (Mặc định)
2,https://www.facebook.com/messages/e2ee/t/1049739444221716,Chữa bài,APTIS GENERAL,Có,vstep_bài 1,D:\HoangLong_Data\Download\Học viên Long.docx,Đã làm,16:10,16:18,Anh - Em (Mặc định)
1,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100030938618779&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 4,D:\HoangLong_Data\Download\FOOD-CLUB-APTIS-SV.docx|D:\HoangLong_Data\Download\FITNESS-CLUB-APTIS-SV.docx,Đã làm,18:11,18:17,Anh - Em (Mặc định)
2,https://business.facebook.com/latest/inbox/messenger?asset_id=397158984167026&selected_item_id=100093433411980&thread_type=FB_MESSAGE&mailbox_id=397158984167026,Chữa bài,APTIS GENERAL,Có,gen_bài 3,D:\HoangLong_Data\Download\mỹ duyên.docx,Đã làm,18:11,18:19,Anh - Em (Mặc định)
3,https://business.facebook.com/latest/inbox/messenger?asset_id=397158984167026&selected_item_id=100013162951168&thread_type=FB_MESSAGE&mailbox_id=397158984167026,Chữa bài,APTIS GENERAL,Có,gen_bài 4,D:\HoangLong_Data\Download\FITNESS-CLUB-Kiều-Anh.docx|D:\HoangLong_Data\Download\Food-Club_-Kiều-Anh.docx,Đã làm,18:19,18:25,Anh - Em (Mặc định)
4,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&business_id=&mailbox_id=397158984167026&selected_item_id=100037482575835&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 2,D:\HoangLong_Data\Download\MUSIC-CLUB-APTIS-SV.docx,Đã làm,18:19,18:27,Anh - Em (Mặc định)
5,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&business_id=&mailbox_id=397158984167026&selected_item_id=61577978044449&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 3,D:\HoangLong_Data\Download\hoàng minh.docx,Đã làm,18:27,18:33,Anh - Em (Mặc định)
6,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&business_id=&mailbox_id=397158984167026&selected_item_id=100007433509357&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 8,D:\HoangLong_Data\Download\Language-Club.docx,Đã làm,18:27,18:36,Anh - Em (Mặc định)
7,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&business_id=&mailbox_id=397158984167026&selected_item_id=100015526143328&thread_type=FB_MESSAGE,Chữa bài,VSTEP,Có,vstep_bài 4,D:\HoangLong_Data\Download\thanh huyền.docx,Đã làm,18:36,18:40,Anh - Em (Mặc định)
8,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&business_id=&mailbox_id=397158984167026&selected_item_id=100008839182295&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 8,D:\HoangLong_Data\Download\LANGUAGE-CLUB-APTIS-SV-1.docx,Đã làm,18:36,18:43,Anh - Em (Mặc định)
9,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&business_id=&mailbox_id=397158984167026&selected_item_id=100010210717879&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 2,D:\HoangLong_Data\Download\MUSIC-CLUB-APTIS-SV (1).docx,Đã làm,18:43,18:47,Anh - Em (Mặc định)
10,https://business.facebook.com/latest/inbox/all/?nav_ref=manage_page_ap_plus_inbox_message_button&asset_id=397158984167026&business_id=&mailbox_id=397158984167026&selected_item_id=100015645667335&thread_type=FB_MESSAGE,Chữa bài,VSTEP,Có,vstep_bài 4,D:\HoangLong_Data\Download\TASK-1-VIẾT-VỀ-VALI-BỊ-MẤT.docx|D:\HoangLong_Data\Download\TASK-1-VIẾT-THƯ-CHO-SẾP-XIN-HỌC-KHÓA-HỌC.docx,Đã làm,18:43,18:50,Anh - Em (Mặc định)
